name,lon,lat,injuries,fatalities,points,score
Greene St and Grand St,-74.002205,40.721622,2,0,1,1
W 38th St and 10th Ave,-73.99731,40.75711,10,0,1,1
Mercer St and W 3rd St,-73.99559000000001,40.728195,8,0,1,1
"40.725662,-74.01094",-74.01094000000001,40.725662,39,0,1,1
Greenwich St and Watts St,-74.00942000000001,40.724087,1,0,1,1
Canal St and Greene St,-74.00326,40.72038,25,1,1,1
Bleecker St and Mercer St,-73.99666000000001,40.726933,10,0,1,1
Vestry St and Hudson St,-74.00812000000001,40.722626,7,0,1,1
W Broadway and Walker St,-74.00565,40.72006,5,0,1,1
Beach St and St Johns Ln,-74.00597,40.720367,0,0,1,1
Mercer St and W Houston St,-73.99760999999999,40.725796,17,0,1,1
11th Ave and W 40th St,-73.999245,40.759525,16,0,1,1
Prince St and Mercer St,-73.99858999999999,40.724632,7,0,1,1
W 37th St and 9th Ave,-73.99491999999999,40.75529,52,0,1,1
White St and Church St,-74.004845,40.718853,6,0,1,1
Spring St and Mercer St,-73.99961,40.723423,4,0,1,1
Desbrosses St and Greenwich St,-74.00954,40.723434,5,0,1,1
White St and Ave of the Americas,-74.00517000000001,40.719006,12,0,1,1
Broome St and Mercer St,-74.00065600000001,40.722183,2,0,1,1
W Broadway and N Moore St,-74.00594,40.719692,1,0,1,1
Beach St and Varick St,-74.00669000000001,40.720436,16,0,1,1
Laight St and Hudson St,-74.00823,40.721966,4,0,1,1
"40.762024,-74.00115",-74.00115,40.762024,25,0,1,1
W 39th St and 10th Ave,-73.99684999999999,40.757732,32,0,1,1
Grand St and Mercer St,-74.00145000000001,40.721252,3,0,1,1
"40.759037,-73.99813",-73.99813,40.759037,0,0,1,1
Canal St and Mercer St,-74.0026,40.719902,27,0,1,1
Broadway and Bond St,-73.99527,40.72721,15,0,1,1
Bleecker St and Broadway,-73.99584,40.72653,22,0,1,1
W 41st St and 11th Ave,-73.998795,40.760155,24,0,1,1
Washington St and Desbrosses St,-74.01034,40.723515,1,0,1,1
Broadway and E Houston St,-73.99677,40.725433,84,0,2,2
Vestry St and Greenwich St,-74.00964999999999,40.722786,2,0,1,1
Prince St and Broadway,-73.99778999999999,40.724236,25,0,1,1
N Moore St and Varick St,-74.006805,40.719776,5,0,1,1
Church St and Franklin St,-74.005325,40.718273,3,0,1,1
"40.724277,-74.01135",-74.01134999999999,40.724277,6,0,1,1
Broadway and Spring St,-73.99881000000001,40.723022,37,0,1,1
W 40th St and 10th Ave,-73.99641,40.75834,20,0,1,1
Broadway and Broome St,-73.999855,40.72179,28,0,1,1
Grand St and Broadway,-74.00066,40.72084,30,0,1,1
Vestry St and Washington St,-74.01045000000001,40.72286,5,0,1,1
"40.76258,-74.00039",-74.00039,40.76258,14,0,1,1
Greenwich St and Laight St,-74.00977,40.722122,5,0,1,1
Broadway and Howard St,-74.00143,40.719936,5,0,1,1
Franklin St and W Broadway,-74.00659,40.71886,5,0,1,1
Broadway and Canal St,-74.001884,40.7194,56,0,1,1
Broadway and Lispenard St,-74.00209,40.719154,2,0,1,1
"40.72614,-73.995056",-73.99505600000001,40.72614,1,0,1,1
"40.72363,-74.011475",-74.011475,40.72363,2,0,1,1
"40.720608,-74.00847",-74.00847,40.720608,5,0,1,1
W 42nd St and 11th Ave,-73.99831399999999,40.760822,80,1,2,2
White St and Broadway,-74.003044,40.718025,12,0,1,1
"40.72521,-73.99584",-73.99584,40.72521,8,0,1,1
Broadway and Franklin St,-74.00353,40.71745,5,0,1,1
Church St and Leonard St,-74.005775,40.717678,7,0,1,1
Broadway and Leonard St,-74.00403,40.71687,9,0,1,1
Crosby St and Prince St,-73.99695,40.72388,7,0,1,1
"40.716278,-74.00453",-74.00453,40.716278,35,0,1,1
Crosby St and Spring St,-73.99798,40.722664,9,0,1,1
Greenwich St and Hubert St,-74.00991999999999,40.721462,1,0,1,1
W 41st St and 10th Ave,-73.99594,40.75898,29,0,1,1
Broome St and Crosby St,-73.99903,40.72142,9,0,1,1
Lafayette St and E Houston St,-73.99533,40.725082,68,0,1,1
"40.72298,-74.011604",-74.01160400000001,40.72298,8,0,1,1
Beach St and Collister St,-74.00931,40.720684,2,0,1,1
N Moore St and Hudson St,-74.00857999999999,40.71995,7,0,1,1
Crosby St and Grand St,-73.99987,40.720432,7,0,1,1
Jersey St and Lafayette St,-73.99588,40.724403,3,0,1,1
Leonard St and W Broadway,-74.00705000000001,40.71827,2,0,1,1
Howard St and Crosby St,-74.000626,40.71955,4,0,1,1
Prince St and Lafayette St,-73.996475,40.723686,4,0,1,1
"40.763115,-73.99965",-73.99965,40.763115,16,0,1,1
W 43rd St and 11th Ave,-73.99782,40.7615,18,0,1,1
Hubert St and Washington St,-74.01067999999999,40.721523,1,0,1,1
